[Sun Feb 07 22:22:21.878334 2021] [php7:error] [pid 27326] [client 192.168.1.162:39044] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:23:25.910632 2021] [php7:error] [pid 27321] [client 192.168.1.162:39052] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:24:30.070213 2021] [php7:error] [pid 27325] [client 192.168.1.162:39060] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:26:18.162822 2021] [php7:error] [pid 27322] [client 192.168.1.162:39072] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Mon Feb 08 00:35:44.472582 2021] [php7:error] [pid 27671] [client 192.168.1.162:39288] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:11:35.527531 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39348] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 13, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:11:35.527621 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39348] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 13, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:11:35.527797 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39348] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 47, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:12:29.623211 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39352] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:12:29.623303 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39352] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:12:29.623497 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39352] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 48, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:12:31.964834 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39352] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:12:31.964903 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39352] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:12:31.965059 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39352] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 48, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:13.794979 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39356] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:13.795071 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39356] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:13.795278 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39356] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:15.115088 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39358] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:15.115187 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39358] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
